video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds,published_year,published_month,published_day,published_weekday,is_weekend,like_ratio,comment_ratio,title_length,days_since_published,channel_age_years
j_sHaBJEHMk,salary dataanalyst salarynegotiation,2023-09-28 12:37:36,14205,968,7,55.0,2023,9,28,Thursday,0,0.0681450193593805,0.0004927842309046111,36,634,5
xuyKzpJ2SaY,ai and analytics with sas sas explore recap,2023-09-26 12:00:49,23527,502,31,179.0,2023,9,26,Tuesday,0,0.021337187061673823,0.0013176350575934033,43,636,5
D0mEy6bJ2lA,my very first video,2023-09-25 13:13:18,9415,500,29,23.0,2023,9,25,Monday,0,0.053106744556558685,0.003080191184280404,19,637,5
GaoAc3-hScQ,dataanalyst careerpath,2023-09-22 11:45:01,66234,4197,30,52.0,2023,9,22,Friday,0,0.06336624694265786,0.00045293957786031344,22,640,5
bxIF9X9k2IE,"data analyst vs data scientist responsibilities, salaries, skills, education",2023-09-19 12:00:34,47807,1173,54,673.0,2023,9,19,Tuesday,0,0.024536155793084696,0.0011295416989143849,76,643,5
z_xWpa88R0A,excel dataanalyst dataanalysis,2023-09-18 11:38:11,16754,1251,21,56.0,2023,9,18,Monday,0,0.07466873582428077,0.001253432016234929,30,644,5
7PoZBuIUnEU,"data analyst vs business analyst responsibilities, salaries, skills, education",2023-09-12 12:00:07,47323,1645,101,294.0,2023,9,12,Tuesday,0,0.034761109819749385,0.00213426874881136,78,650,5
fq1-e-GbihE,dataanalysis dataanalyst,2023-09-07 11:57:32,20768,1484,23,53.0,2023,9,7,Thursday,0,0.07145608628659476,0.0011074730354391372,24,655,5
Xkb6h3YXl_c,hard skills vs soft skills in the data world which is more important?,2023-09-05 12:00:34,15743,702,30,582.0,2023,9,5,Tuesday,0,0.04459124690338563,0.001905608842025027,69,657,5
qDprq7Xbrqw,"entry level vs mid level vs senior level data analyst responsibilities, salary, education, skills",2023-08-29 04:00:33,45163,1948,112,323.0,2023,8,29,Tuesday,0,0.04313265283528552,0.0024799061178398247,97,664,5
UOHxb9ndpMM,dataanalyst dataanalysis promotion,2023-08-28 11:53:52,10907,633,10,51.0,2023,8,28,Monday,0,0.058036123590354816,0.0009168423947923352,34,665,5
_h_A_n8Z9QQ,dataanalyst dataanalysis,2023-08-24 11:53:05,20828,1396,54,60.0,2023,8,24,Thursday,0,0.06702515844056078,0.0025926637219128097,24,669,5
_oCUSMX4_3k,regular expression use cases in python,2023-08-22 12:00:35,11251,266,21,767.0,2023,8,22,Tuesday,0,0.02364234290285308,0.0018665007554884011,38,671,5
OnS01G8W6nw,data analyst qa livestream august livestream ask me anything!,2023-08-18 14:23:24,8507,321,25,4365.0,2023,8,18,Friday,0,0.037733631127306926,0.0029387563183260845,61,675,5
ugkyfUTc6AU,dataanalystsalary dataanalysis,2023-08-17 12:35:34,49549,3518,48,54.0,2023,8,17,Thursday,0,0.0710004238228824,0.0009687380169125512,30,676,5
eON-PNPae8Y,how to work with recruiters on linkedin,2023-08-15 12:00:34,48959,2334,89,467.0,2023,8,15,Tuesday,0,0.04767254233133847,0.0018178475867562654,39,678,5
41nX2ZgGzcE,dataanalysis dataportfolio,2023-08-14 12:12:00,36366,2993,25,60.0,2023,8,14,Monday,0,0.08230215036022659,0.0006874553154044988,26,679,5
Le35Qsgs2lM,wife careerchange dataanalysis,2023-08-11 13:13:22,20894,1941,52,59.0,2023,8,11,Friday,0,0.0928974825308701,0.0024887527519862162,30,682,5
nufF-juSZxU,link httpswww.youtube.complaylist?listpluab-1hjhk8fexz87vppsfhqb6ocm0cf,2023-08-09 13:11:45,8188,747,44,37.0,2023,8,9,Wednesday,0,0.09123106985832927,0.00537371763556424,71,684,5
9NB5u17qiDY,regular expression character classes in python,2023-08-08 12:00:05,13981,238,13,638.0,2023,8,8,Tuesday,0,0.017023102782347473,0.0009298333452542737,46,685,5
YDvJqgBv0Uc,recruiters dataanalysis data,2023-08-03 11:56:30,17004,1156,24,58.0,2023,8,3,Thursday,0,0.06798400376382027,0.0014114326040931546,28,690,5
j6A28L6Tmxw,regular expression metacharacters in python,2023-08-01 12:00:26,12585,309,9,1203.0,2023,8,1,Tuesday,0,0.024553039332538735,0.0007151370679380214,43,692,5
W_s4c1vLGXM,how much do data analysts make? dataanalyst dataanalystsalary,2023-07-31 13:07:06,21951,838,45,46.0,2023,7,31,Monday,0,0.03817593731492871,0.002050020500205002,61,693,5
DWte9zjGl0I,do you need to learn sql if you can do everything in python? python dataanalysis sql,2023-07-28 12:48:19,60731,3329,47,51.0,2023,7,28,Friday,0,0.05481549785117979,0.0007739045956760139,84,696,5
EzeeypMKx7o,regular expression methods in python,2023-07-25 12:00:19,21692,445,14,517.0,2023,7,25,Tuesday,0,0.02051447538262954,0.0006453992255209294,36,699,5
OISvlkfbntY,what are hiring managers looking for? nail the interview process!,2023-07-18 12:00:17,42697,1528,73,822.0,2023,7,18,Tuesday,0,0.03578705763870998,0.0017097219945195212,65,706,5
8dTpNajxaH0,scraping data from a real website web scraping in python,2023-07-11 12:00:07,660812,11723,465,1523.0,2023,7,11,Tuesday,0,0.01774029527308826,0.0007036797152594081,56,713,5
oreAsJTNcsA,sql beginner to advanced in one hour careerfoundry webinar,2023-07-06 17:20:05,236475,6621,120,4108.0,2023,7,6,Thursday,0,0.02799873136695211,0.000507453219156359,58,717,5
