video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
_nf56aMPdZE,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06T13:00:35Z,86175,1031,51,1485.0
XbDRYzYUmMo,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30T17:30:05Z,13450,474,10,4496.0
KRXSJb9ql1Y,String Functions in MySQL | Intermediate MySQL Series,2024-01-30T13:00:17Z,131852,2279,75,714.0
iTQW_nDp938,Unions in MySQL | Intermediate MySQL,2024-01-23T13:00:41Z,127022,2283,81,442.0
lXQzD09BOH0,Joins in MySQL | Intermediate MySQL,2024-01-16T13:00:42Z,268325,3831,168,1031.0
xtC3212t4hI,Is my background in Data Analytics?,2024-01-15T14:22:09Z,30689,2072,32,57.0
KZKizyBS9YM,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11T13:00:16Z,22672,564,23,1023.0
I0_ca6iyo6w,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09T13:00:24Z,30126,619,36,1286.0
GZS7AgQ4Ksg,Hard Skills vs Soft Skills,2024-01-08T13:06:02Z,15032,1027,7,30.0
fT-8mRf_-Hk,Solving Medium SQL Interview Questions on Analyst Builder,2024-01-04T13:00:28Z,33141,730,48,744.0
ZHaYOC0H5KE,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02T13:00:25Z,60382,1341,58,738.0
K0-8G3DgjA4,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26T13:00:10Z,413864,16306,503,661.0
ZnAydTqCtFU,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19T13:00:24Z,136324,2612,87,237.0
qPOmj22QX04,Practice SQL and Python right on your Phone!,2023-12-13T16:12:42Z,9913,639,20,28.0
XD1ul5fpnGI,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12T13:00:21Z,25041,1025,110,987.0
kifhSqep9UM,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11T19:04:05Z,12043,475,14,16464.0
dCNjUOc1cBY,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05T13:00:35Z,160749,2854,51,226.0
lEjmgE-hogg,#Excel is Frustrating,2023-11-29T18:00:02Z,12338,791,11,47.0
qxj3dx0c7RM,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28T17:36:39Z,14274,432,11,4297.0
zgYqUP_PhQo,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28T13:00:57Z,215406,3715,85,646.0
MARn_mssG4A,Where Clause in MySQL | Beginner MySQL Series,2023-11-21T13:00:24Z,233817,3711,123,747.0
TGAUZQJaQbQ,Why Data Analysts Hate Using Excel,2023-11-14T13:00:21Z,26104,971,140,444.0
HYD8KjPB9F8,Select Statement in MySQL | Beginner MySQL Series,2023-11-07T13:00:11Z,365996,4571,167,660.0
wgRwITQHszU,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31T12:00:54Z,1063296,13600,1420,724.0
1LG65qXfeQY,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26T16:30:05Z,26629,991,12,4709.0
QzLz-W29Tww,How to Start a Data YouTube Channel,2023-10-24T12:00:30Z,9786,432,47,657.0
ukIUVW2E-n0,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20T16:18:10Z,5159,237,11,5107.0
aofB2t5o2ao,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17T12:00:04Z,19576,729,264,4443.0
-DwpkgtJjGw,Data Analyst vs Business Analyst,2023-10-13T13:37:21Z,132717,7069,49,59.0
h4KTy2wxYcQ,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10T12:00:36Z,32286,854,212,1311.0
LaRXtE4OG9A,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09T12:11:16Z,30029,1792,27,40.0
J0PcCv9f4JQ,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05T12:13:45Z,17358,1301,32,58.0
_DGn-7134i0,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03T12:00:26Z,37520,813,44,386.0
EflE8U30pBo,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28T16:09:03Z,8997,284,21,5621.0
j_sHaBJEHMk,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28T12:37:36Z,14205,968,7,55.0
xuyKzpJ2SaY,AI and Analytics with SAS | SAS Explore Recap,2023-09-26T12:00:49Z,23527,502,31,179.0
D0mEy6bJ2lA,My Very First Video,2023-09-25T13:13:18Z,9415,500,29,23.0
GaoAc3-hScQ,#DataAnalyst #CareerPath,2023-09-22T11:45:01Z,66234,4197,30,52.0
bxIF9X9k2IE,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19T12:00:34Z,47807,1173,54,673.0
z_xWpa88R0A,#Excel #DataAnalyst #DataAnalysis,2023-09-18T11:38:11Z,16754,1251,21,56.0
7PoZBuIUnEU,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12T12:00:07Z,47323,1645,101,294.0
fq1-e-GbihE,#DataAnalysis #DataAnalyst,2023-09-07T11:57:32Z,20768,1484,23,53.0
Xkb6h3YXl_c,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05T12:00:34Z,15743,702,30,582.0
qDprq7Xbrqw,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29T04:00:33Z,45163,1948,112,323.0
UOHxb9ndpMM,#DataAnalyst #DataAnalysis #Promotion,2023-08-28T11:53:52Z,10907,633,10,51.0
_h_A_n8Z9QQ,#DataAnalyst #DataAnalysis,2023-08-24T11:53:05Z,20828,1396,54,60.0
_oCUSMX4_3k,Regular Expression Use Cases in Python,2023-08-22T12:00:35Z,11251,266,21,767.0
OnS01G8W6nw,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18T14:23:24Z,8507,321,25,4365.0
ugkyfUTc6AU,#DataAnalystSalary #DataAnalysis,2023-08-17T12:35:34Z,49549,3518,48,54.0
eON-PNPae8Y,How to Work with Recruiters on LinkedIn,2023-08-15T12:00:34Z,48959,2334,89,467.0
41nX2ZgGzcE,#dataanalysis #dataportfolio,2023-08-14T12:12:00Z,36366,2993,25,60.0
Le35Qsgs2lM,#wife #careerchange #dataanalysis,2023-08-11T13:13:22Z,20894,1941,52,59.0
nufF-juSZxU,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09T13:11:45Z,8188,747,44,37.0
9NB5u17qiDY,Regular Expression Character Classes in Python,2023-08-08T12:00:05Z,13981,238,13,638.0
YDvJqgBv0Uc,#Recruiters #dataanalysis #data,2023-08-03T11:56:30Z,17004,1156,24,58.0
j6A28L6Tmxw,Regular Expression Metacharacters in Python,2023-08-01T12:00:26Z,12585,309,9,1203.0
W_s4c1vLGXM,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31T13:07:06Z,21951,838,45,46.0
DWte9zjGl0I,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28T12:48:19Z,60731,3329,47,51.0
